texts,source
Drive life prove forward.,dataset7.csv
Officer dog picture three.,dataset7.csv
มันเอามาดุดเองไม่ก้อให้พวกลุกน้อง,dataset1.csv
"Tamandua Photo The photo was a Northern Tamadua, not a Southern Tamandua. The Southern Tamandua does not appear in Costa Rica.",dataset6.csv
เด่วเอาไปมอมอิเตี้ย 555,dataset1.csv
Something national area mission fight. These people are hate!,dataset7.csv
สินค้าคุณภาพดี แข็งแรง เสียงดี เด็กๆ ชอบ และยังส่งเร็วด้วยค่ะ,dataset4.csv
ช่วงนี้ได้เจอน้องทุกวันแฮปปี้,dataset5.csv
"RT @Sunelite1: Can't wait for the @Cubs to sweep the Cardinals tonight on @espn ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",dataset8.csv
เกลียดคนๆหนึ่งที่แม่งร้ายกับกูจังแต่คนอื่นดันมองว่าแม่งแสนดีโอ้ยยยอยากจะฉีกหน้ากากอิตุ๊ดเด็ก,dataset5.csv
ขับง่ายกว่าวีออสเยอะเลย,dataset1.csv
